//scott/maps
我的位置	Wǒ de wèizhì	My Location
顺风车	Shùnfēng chē	Rideshare
地铁优先	Dìtiě yōuxiān	Subway priority
换成少	Huàn chéng shǎo	fewer transfers
时间短	Shíjiān duǎn	shorter time
较拥挤	Jiào yǒngjǐ	More crowded
首站发车约8分钟/趟	Shǒu zhàn fāchē yuē 8 fēnzhōng/tàng	Departures from the first station about every 8 minutes
大众常选	Dàzhòng cháng xuǎn	Popular Choice
城际客车	Chéng jì kèchē	Intercity Bus
途经点	Tújīng diǎn	Waypoints (stop along the way)
景点	Jǐngdiǎn	Attractions
地图选点	Dìtú xuǎn diǎn	Map select point
公寓式酒店	Gōngyù shì jiǔdiàn	apartment-style hotels
榜第2名	Bǎng dì 2 míng	ranked no. 2
棋牌室	Qípái shì	Chess and card room
离店	Lí diàn	Check-out
免费取消	Miǎnfèi qǔxiāo	Free cancellation
入住人数	Rùzhù rénshù	number of guests / checkin people number
立即确认	Lìjí quèrèn	Immediate confirmation
含早餐	Hán zǎocān	Breakfast included / contains breakfast
入住当天	Rùzhù dàngtiān	Check-in day
剩1间	Shèng 1 jiān	1 room left
在线付	Zàixiàn fù	Online payment
填写	Tiánxiě	fill in
用于接收订单信息	Yòng yú jiēshōu dìngdān xìnxī	used to receive order information
新客专享	Xīn kè zhuān xiǎng	Exclusive for new customers
已省	Yǐ shěng	already saved
促销活动	Cùxiāo huó	Promotional (promote sell) activities
2项优惠	2 Xiàng yōuhuì	2 offers
阅读并同意	Yuèdú bìng tóngyì	Read and agree
商户	Shānghù	Merchants
律所	Lǜ suǒ	law firm
维修	Wéixiū	maintainance / repair
营业厅	Yíngyè tīng	Business Hall (telecom, bank, etc.)
快递	Kuàidì	express delivery
家电维修	Jiādiàn wéixiū	Home Appliance Repair
包括	Bāokuò	include
反馈	Fǎnkuì	feedback
更多	Gèng duō	more (information)
评价	Píngjià	(# of) reviews
超棒	Chāo bàng	excellent (review)
入选2025必去傍	Rùxuǎn 2025 bì qù bàng	selected as a must-go place for 2025
古典园林	Gǔdiǎn yuánlín	Classical Gardens
回归自然	Huíguī zìrán	Back to Nature
景色宜人	Jǐngsè yírén	Pleasant scenery
开园中	Kāiyuán zhōng	open (place)
开放时间	Kāifàng shíjiān	Opening hours
营业中	Yíngyè zhōng	open (for business)
舒适	Shūshì	comfortable (not too many people)
详情	Xiángqíng	details (page)
驾车9公里20分钟	Jiàchē 9 gōnglǐ 20 fēnzhōng	9 km by car, 20 minutes
地下	Dìxià	underground
地下室	Dìxiàshì	basement
概述	Gàishù	Overview
亮点特色	Liàngdiǎn tèsè	Highlights
门票信息	Ménpiào xìnxī	Ticket Information
满120减1	Mǎn 120 jiǎn 1	1 off for every 120
省钱卡	Shěng qián kǎ	save money card
购买	Gòumǎi	(go) buy
可订明日	Kě dìng míngrì	available (can be ordered) tomorrow
指定日期	Zhǐdìng rìqí	specified date
随时退	Suíshí tuì	anytime refund
有条件退	Yǒu tiáojiàn tuì	Conditional Refund
极速出票	Jísù chū piào	extreme speed ticket issuance
筛选	Shāixuǎn	filter
携程	Xiéchéng	Ctrip
平均1分钟出票	Píngjūn 1 fēnzhōng chū piào	Ticket issuance takes an average of 1 minute
有效期至	Yǒuxiàoqí zhì	valid period until
需预约	Xū yùyuē	Reservation required
超低价门票点我	Chāo dījià ménpiào diǎn wǒ	Super low price tickets click here
仅行人	Jǐn xíngrén	Pedestrians only
查找地点	Cházhǎo dìdiǎn	(search) find a location
导航	Dǎoháng	navigation
路线	Lùxiàn	route
周边	Zhōubiān	nearby/neighborhood
分享	Fēnxiǎng	share
图层	Tú céng	map layers
标准	Biāozhǔn	standard
卫星地图	Wèixīng dìtú	Satellite Map
外观设置	Wàiguān shèzhì	Appearance settings
深色模式	Shēn sè móshì	Dark Mode
显示	Xiǎnshì	display (n. and v.)
字号设置	Zìhao shèzhì	Font size setting
路况	Lùkuàng	road (traffic) conditions
事件	Shìjiàn	events / incidents
我的收藏	Wǒ de shōucáng	my collection
运动绿道	Yùndòng lǜ dào	Sports Greenway
展开更多	Zhǎnkāi gèng duō	Expand more
收起	Shōu qǐ	Close
小程序	Xiǎo chéngxù	Mini Programs
实时公交	Shíshí gōngjiāo	Real-time public transportation (bus?)
热点区域	Rèdiǎn qūyù	Hotspots
实用信息	Shíyòng xìnxī	Useful Information
咨询官方	Zīxún guānfāng	consult official (website)
具体	Jùtǐ	specific
直达	Zhídá	direct
便捷可达	Biànjié kě dá	convenient access
行程攻略	Xíngchéng gōnglüè	itinerary tips / journey strategy
参观	Cānguān	visit
休闲娱乐	Xiūxián Yúlè	Leisure and entertainment
设施	Shèshī	facility
亲子	Qīnzǐ	family
预订	Yùdìng	Book now / pre order
搜索	Sōusuǒ	search
去处	Qùchù	place (to go)
发现	Fāxiàn	discover
距此	Jù cǐ	distance from here
查看全部	Chákàn quánbù	view all
浏览	Liúlǎn	(#) views / browse
人流量情况	Rén liúliàng qíngkuàng	people flow volume conditions
基于	Jīyú	based on
过去2周	Guòqù 2 zhōu	Last 2 weeks
数据统计	Shùjù tǒngjì	data statistics
人气爆款	Rénqì bào kuǎn	Popular items
人均价格	Rénjūn jiàgé	average price per person / per capita price
